City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
502,Lashio,MM,54.9,few clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
503,Taltal,CL,65.21,scattered clouds,-25.4,-70.4833,Residencial Karime
504,Rach Gia,VN,75.15,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
511,Lebu,CL,56.28,clear sky,-37.6167,-73.65,Hostal Las Lilas
513,Portland,US,62.58,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
515,Moranbah,AU,75.97,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
516,Inongo,CD,70.83,overcast clouds,-1.95,18.2667,Hotel Du Lac
517,Santa Catalina,PH,77.59,scattered clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
518,Mount Isa,AU,76.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
519,Marsh Harbour,BS,72.46,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
520,Manggar,ID,78.84,overcast clouds,-2.8833,108.2667,Guest Hotel
521,Acari,PE,75.88,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
525,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Punto de encuentro
526,Kadiri,IN,68.67,overcast clouds,14.1167,78.1667,Railway Guest House
527,Grand-Lahou,CI,79.48,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
530,Mananjary,MG,70.5,overcast clouds,-21.2167,48.3333,Vahiny Lodge
532,Rawson,AR,75.24,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
533,Camargo,MX,64.2,overcast clouds,27.6667,-105.1667,Hotel Santa Fe
534,Jiangkou,CN,64.29,broken clouds,25.4872,119.1986,DFM Hotel
538,Miri,MY,75.34,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
539,Sibolga,ID,74.35,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
540,Barcelos,PT,53.74,broken clouds,41.5388,-8.6151,Hotel Do Terço
542,Sikonge,TZ,73.9,broken clouds,-5.6333,32.7667,Pretoria 2 Lodge
543,Nalbari,IN,60.78,few clouds,26.4456,91.4354,Ganesh Hotel
545,Mitsamiouli,KM,79.68,clear sky,-11.3847,43.2844,Foyer ADM
546,Susanville,US,62.83,scattered clouds,40.4163,-120.653,Comfort Inn & Suites
547,Chone,EC,79.97,overcast clouds,-0.6833,-80.1,Ciudadela Gonzalez
552,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
553,Kalianget,ID,74.91,light rain,-7.05,113.9333,Pesanggrahan Garam
555,Wanaka,NZ,62.94,clear sky,-44.7,169.15,Wanaka Homestead Lodge and Cottages
557,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
559,Sompeta,IN,72.25,overcast clouds,18.9333,84.6,Netaji's Home
560,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
564,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
566,Willowmore,ZA,62.53,scattered clouds,-33.2926,23.4895,Jumper's Place
568,Marbella,ES,54.72,clear sky,36.5154,-4.8858,Hotel Fuerte Marbella
569,Sohag,EG,66.49,overcast clouds,26.557,31.6948,Civil Registry - Sohag 1
572,Calvinia,ZA,56.73,clear sky,-31.4707,19.776,Die Lemoenhuis
573,Rocha,UY,67.6,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
574,Karaton,ID,75.36,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
578,Paita,PE,75.76,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
580,Port Hedland,AU,75.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
581,Fukue,JP,56.46,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
584,Puerto Leguizamo,CO,79.66,overcast clouds,-0.1934,-74.7819,la casona de juancho
585,Bandarbeyla,SO,77.7,scattered clouds,9.4942,50.8122,JABIR HOTEL
586,Kefar Tavor,IL,63.03,broken clouds,32.6866,35.4212,פנינה במושבה
588,Christchurch,NZ,57.4,overcast clouds,-43.5333,172.6333,The George
591,Quatre Cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
592,Laguna,US,71.42,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
594,Chauk,MM,69.73,scattered clouds,20.8833,94.8167,Bo Khin Guest House
