City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
248,Praia Da Vitoria,PT,2021-11-24 18:34:23,38.7333,-27.0667,65.75,82,75,27.87
249,Chakrata,IN,2021-11-24 18:34:23,30.7,77.85,39.29,59,0,5.91
250,Kununurra,AU,2021-11-24 18:34:24,-15.7667,128.7333,84.18,65,40,3.44
251,Hailun,CN,2021-11-24 18:34:24,47.45,126.9333,10.99,95,90,6.91
252,Montepuez,MZ,2021-11-24 18:34:25,-13.1256,38.9997,77.23,66,17,9.53
253,Devonport,AU,2021-11-24 18:34:25,-41.1667,146.35,58.08,79,5,5.97
254,Clyde River,CA,2021-11-24 18:34:26,70.4692,-68.5914,10.63,85,100,24.16
255,Goure,NE,2021-11-24 18:34:26,13.9835,10.2704,86.02,14,0,7.92
256,Lucapa,AO,2021-11-24 18:34:27,-8.4192,20.7447,67.73,91,100,2.57
257,Ostrovnoy,RU,2021-11-24 18:34:27,68.0531,39.5131,27.77,54,100,20.07
258,Vestmanna,FO,2021-11-24 18:34:27,62.1564,-7.1664,38.32,70,90,40.29
259,Souillac,MU,2021-11-24 18:34:28,-20.5167,57.5167,77.36,83,20,5.75
260,Charlestown,AU,2021-11-24 18:34:28,-32.95,151.6667,69.73,97,100,1.01
261,Zapolyarnyy,RU,2021-11-24 18:34:29,69.4154,30.8136,11.48,100,80,4.65
262,Santa Marta,CO,2021-11-24 18:34:29,11.2408,-74.199,87.35,76,100,5.23
263,Manokwari,ID,2021-11-24 18:34:29,-0.8667,134.0833,78.12,81,100,3.18
264,Kamenka,RU,2021-11-24 18:34:30,51.3223,42.7678,20.75,58,99,13.69
265,Yinchuan,CN,2021-11-24 18:34:31,38.4681,106.2731,35.37,25,0,4.9
266,Huarmey,PE,2021-11-24 18:34:31,-10.0681,-78.1522,71.44,75,91,10.71
267,Mildura,AU,2021-11-24 18:34:32,-34.2,142.15,69.76,88,75,6.91
268,Podyuga,RU,2021-11-24 18:34:32,61.095,40.8647,23.5,96,100,4.05
269,Talnakh,RU,2021-11-24 18:34:32,69.4865,88.3972,11.32,95,100,7.7
270,Torbay,CA,2021-11-24 18:30:07,47.6666,-52.7314,51.28,98,90,17.27
271,Nome,US,2021-11-24 18:34:33,64.5011,-165.4064,3.27,51,1,0.0
272,Menongue,AO,2021-11-24 18:34:33,-14.6585,17.691,75.4,39,71,2.84
273,Neuquen,AR,2021-11-24 18:32:59,-38.9516,-68.0591,89.49,23,0,6.91
274,Irtyshskiy,RU,2021-11-24 18:35:34,58.3333,68.1333,7.97,97,98,6.62
275,Lazi,UA,2021-11-24 18:35:35,48.0667,24.2333,30.27,89,12,1.77
276,Altamont,US,2021-11-24 18:35:35,42.2068,-121.7372,35.78,80,1,1.99
277,Saint George,US,2021-11-24 18:35:36,37.1041,-113.5841,57.67,23,1,4.0
278,Rio Grande,BR,2021-11-24 18:35:36,-32.035,-52.0986,82.51,52,0,11.59
279,Banjar,ID,2021-11-24 18:35:37,-8.19,114.9675,78.66,88,98,4.88
280,Mogwase,ZA,2021-11-24 18:35:37,-25.185,27.2665,74.07,34,99,11.23
281,Tuatapere,NZ,2021-11-24 18:35:38,-46.1333,167.6833,52.74,71,100,5.01
282,Portobelo,PA,2021-11-24 18:35:38,9.55,-79.65,83.05,74,97,4.05
283,Longyearbyen,SJ,2021-11-24 18:35:38,78.2186,15.6401,1.24,71,20,11.5
284,Juegang,CN,2021-11-24 18:35:39,32.3174,121.1855,43.92,61,0,9.6
285,Sisimiut,GL,2021-11-24 18:26:11,66.9395,-53.6735,29.75,82,78,26.11
286,Galeras,CO,2021-11-24 18:35:39,9.161,-75.0481,83.19,71,86,3.02
287,Rio Gallegos,AR,2021-11-24 18:35:40,-51.6226,-69.2181,66.25,22,40,12.66
288,Moose Factory,CA,2021-11-24 18:35:40,51.2585,-80.6094,32.0,80,1,4.61
289,Tall Kayf,TR,2021-11-24 18:35:41,37.0833,41.0667,49.39,71,40,6.91
290,Grand Forks,US,2021-11-24 18:31:04,47.9417,-97.4337,17.53,73,90,23.02
291,General Roca,AR,2021-11-24 18:35:42,-39.0333,-67.5833,90.0,15,100,5.57
