City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Isabela,PH,6.7085,121.9711,78.06,84,50,3.65,scattered clouds
292,Millerovo,RU,48.9226,40.3967,46.29,96,100,8.25,overcast clouds
293,Popondetta,PG,-8.7537,148.2534,77.58,85,98,2.35,overcast clouds
294,Svetlyy,RU,54.675,20.1347,35.65,92,100,8.19,light rain
295,Khatanga,RU,71.9667,102.5,-8.03,98,100,9.31,overcast clouds
296,Westport,US,41.1415,-73.3579,41.14,80,90,6.91,overcast clouds
297,Yeppoon,AU,-23.1333,150.7333,74.98,83,87,11.99,overcast clouds
298,Esfarayen,IR,37.0765,57.5101,40.66,50,99,3.67,overcast clouds
299,Geraldton,AU,-28.7667,114.6,68.41,88,90,8.05,overcast clouds
300,Singaparna,ID,-7.3515,108.111,69.84,95,38,1.45,scattered clouds
301,Luocheng,CN,29.3848,104.0286,52.84,87,100,2.73,overcast clouds
302,Sistranda,NO,63.7256,8.834,21.16,70,92,16.55,light snow
303,Camacha,PT,33.0833,-16.3333,60.22,67,40,9.22,scattered clouds
304,Sulya,IN,12.5667,75.3833,80.64,89,100,3.22,overcast clouds
305,Khash,IR,28.2211,61.2158,51.84,38,11,1.59,few clouds
306,Marsa Matruh,EG,31.3525,27.2453,64.6,63,0,4.61,clear sky
307,Cayenne,GF,4.9333,-52.3333,78.84,94,40,2.3,scattered clouds
308,Tambo,PE,-14.8,-73.9167,41.49,74,96,12.48,overcast clouds
309,Merauke,ID,-8.4667,140.3333,79.97,80,100,3.74,overcast clouds
310,Englehart,CA,47.8169,-79.8664,24.82,86,90,2.3,overcast clouds
311,Lavrentiya,RU,65.5833,-171.0,-13.04,92,3,6.82,clear sky
312,Aguililla,MX,18.7333,-102.7333,81.63,34,2,3.44,clear sky
313,Panjab,AF,34.388,67.0233,24.75,86,7,1.01,clear sky
314,Dali,CN,25.7,100.1833,43.38,79,1,2.44,clear sky
315,Kologriv,RU,58.8275,44.3178,35.17,86,100,11.68,overcast clouds
316,Bafq,IR,31.6128,55.4107,58.64,45,100,2.66,overcast clouds
317,Lazaro Cardenas,MX,17.9583,-102.2,84.63,55,4,10.0,clear sky
318,Puerto Escondido,MX,15.85,-97.0667,86.83,58,40,9.22,scattered clouds
319,Codrington,AU,-38.2667,141.9667,54.66,77,1,8.21,clear sky
320,Alofi,NU,-19.0595,-169.9187,80.49,57,40,13.8,scattered clouds
321,Krasnoselkup,RU,65.7,82.4667,-19.01,100,73,5.26,broken clouds
322,Araceli,PH,10.5529,119.9913,81.93,81,100,12.97,overcast clouds
323,Nelson Bay,AU,-32.7167,152.15,60.85,74,100,6.15,overcast clouds
324,Victor Harbor,AU,-35.5667,138.6167,55.49,62,0,1.3,clear sky
325,Kavaratti,IN,10.5669,72.642,81.0,78,98,15.66,overcast clouds
326,Beloha,MG,-25.1667,45.05,64.02,66,4,14.9,clear sky
327,Asau,RO,46.4333,26.4,41.92,72,100,4.79,overcast clouds
328,Outjo,NA,-20.1167,16.15,73.65,17,80,5.21,broken clouds
329,Vila Velha,BR,-20.3297,-40.2925,76.95,83,75,14.97,broken clouds
